epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2576.25,1.01028,0.71787,1.20038,0.86096,0.83718,0.87288,0.58965,1.32141,0.97349,1.47379,0.005743,0.005743,0.005743
45,2637.38,1.02333,0.72576,1.21755,0.84426,0.831,0.8695,0.58869,1.33012,0.99835,1.49259,0.005644,0.005644,0.005644
46,2691.6,1.01305,0.71105,1.20065,0.86194,0.82658,0.86731,0.58248,1.34487,0.98742,1.48849,0.005545,0.005545,0.005545
47,2746.3,1.00732,0.68971,1.1977,0.8402,0.84639,0.86428,0.58505,1.33106,0.96997,1.46857,0.005446,0.005446,0.005446
48,2800.31,1.00793,0.69342,1.2009,0.82457,0.84309,0.86255,0.58166,1.34479,1.00578,1.49144,0.005347,0.005347,0.005347
49,2854.45,0.99119,0.69675,1.1952,0.84566,0.84684,0.87027,0.59541,1.30598,0.97912,1.45437,0.005248,0.005248,0.005248
50,2916.24,0.98316,0.67273,1.17806,0.83157,0.85406,0.86963,0.58756,1.30506,0.99424,1.47688,0.005149,0.005149,0.005149
51,2970.84,0.98988,0.68067,1.19321,0.81546,0.87996,0.86791,0.59417,1.31292,0.94298,1.46842,0.00505,0.00505,0.00505
52,3024.95,0.96923,0.67377,1.18195,0.84355,0.82458,0.86075,0.58757,1.31755,0.95978,1.49127,0.004951,0.004951,0.004951
53,3079.25,0.96098,0.66489,1.16599,0.81801,0.84711,0.85032,0.58295,1.31021,1.00309,1.46634,0.004852,0.004852,0.004852
54,3133.18,0.94643,0.64163,1.16315,0.83132,0.84257,0.86591,0.59367,1.30623,0.97,1.46869,0.004753,0.004753,0.004753
55,3187.89,0.94718,0.6389,1.16208,0.83045,0.85135,0.86136,0.58743,1.32039,0.95651,1.49001,0.004654,0.004654,0.004654
56,3242.27,0.95102,0.64736,1.16916,0.84796,0.84794,0.87003,0.59118,1.32063,0.94296,1.48213,0.004555,0.004555,0.004555
57,3297.29,0.94521,0.63439,1.1619,0.85027,0.85678,0.87658,0.5992,1.29269,0.93092,1.46384,0.004456,0.004456,0.004456
58,3358.2,0.94111,0.63373,1.16895,0.83417,0.85037,0.87035,0.59012,1.30234,0.94922,1.46941,0.004357,0.004357,0.004357
59,3416.17,0.94193,0.63504,1.15831,0.82345,0.84876,0.86691,0.59198,1.3021,0.90205,1.46805,0.004258,0.004258,0.004258
60,3475.56,0.93375,0.6185,1.15009,0.85442,0.84797,0.87466,0.60108,1.30733,0.89737,1.46116,0.004159,0.004159,0.004159
61,3540.22,0.91425,0.60655,1.14411,0.83185,0.85506,0.87396,0.59387,1.31047,0.92424,1.47569,0.00406,0.00406,0.00406
62,3594.19,0.91771,0.61398,1.14646,0.8352,0.85651,0.8752,0.60026,1.30606,0.95431,1.46649,0.003961,0.003961,0.003961
63,3653.68,0.91957,0.6068,1.14826,0.85536,0.83973,0.87127,0.59898,1.27823,0.90938,1.45961,0.003862,0.003862,0.003862
64,3713.13,0.90514,0.60268,1.14553,0.83416,0.85638,0.86413,0.59577,1.29587,0.92506,1.47018,0.003763,0.003763,0.003763
65,3767.07,0.90331,0.59693,1.14322,0.86504,0.84062,0.87416,0.60162,1.3087,0.92901,1.46924,0.003664,0.003664,0.003664
66,3836.75,0.89563,0.60192,1.14556,0.84477,0.85326,0.87682,0.60784,1.28076,0.91027,1.46602,0.003565,0.003565,0.003565
67,3898.21,0.89862,0.57969,1.13772,0.86675,0.82606,0.86683,0.60123,1.29097,0.94921,1.45564,0.003466,0.003466,0.003466
68,3956.8,0.88318,0.58621,1.13101,0.84939,0.84034,0.86675,0.60152,1.29009,0.94754,1.47379,0.003367,0.003367,0.003367
69,4012.21,0.87911,0.57817,1.12073,0.83247,0.86866,0.87519,0.60461,1.29109,0.91565,1.4614,0.003268,0.003268,0.003268
70,4066.45,0.89033,0.5776,1.12411,0.84466,0.84344,0.87217,0.6035,1.27734,0.93111,1.46265,0.003169,0.003169,0.003169
71,4120.83,0.86893,0.57052,1.12317,0.84652,0.84502,0.87113,0.60532,1.27515,0.91796,1.44565,0.00307,0.00307,0.00307
72,4181.26,0.86263,0.55891,1.10755,0.86421,0.84682,0.87796,0.61056,1.27971,0.92731,1.45595,0.002971,0.002971,0.002971
